"Group","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"14","Presence Goldfish","",6,0.833333333333333,1,0,1,0.404903027393948,1.26176363927272
"15","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"16","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"17","Presence Goldfish","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"18","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"19","Presence Goldfish","",7,0.571428571428571,1,0,1,0.0770777248827613,1.06577941797438
"20","Presence Goldfish","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"All sites","Presence Common smelt","",136,0.794117647058823,1,0,1,0.725293027655486,0.862942266462161
"1","Presence Common smelt","",6,1,1,1,1,1,1
"2","Presence Common smelt","",6,0.666666666666667,1,0,1,0.124740432502177,1.20859290083116
"3","Presence Common smelt","",7,0.428571428571429,0,0,1,-0.0657794179743815,0.922922275117239
"4","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"5","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"6","Presence Common smelt","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"7","Presence Common smelt","",7,1,1,1,1,1,1
"8","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"9","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"10","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"11","Presence Common smelt","",7,1,1,1,1,1,1
"12","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"13","Presence Common smelt","",6,0.666666666666667,1,0,1,0.124740432502177,1.20859290083116
"14","Presence Common smelt","",6,0.5,0.5,0,1,-0.0747995726208989,1.0747995726209
"15","Presence Common smelt","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"16","Presence Common smelt","",7,1,1,1,1,1,1
"17","Presence Common smelt","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"18","Presence Common smelt","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"19","Presence Common smelt","",7,1,1,1,1,1,1
"20","Presence Common smelt","",7,1,1,1,1,1,1
"All sites","Presence Kōaro","",136,0.625,1,0,1,0.542596155115032,0.707403844884968
"1","Presence Kōaro","",6,0.833333333333333,1,0,1,0.404903027393948,1.26176363927272
"2","Presence Kōaro","",6,1,1,1,1,1,1
"3","Presence Kōaro","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"4","Presence Kōaro","",7,0.571428571428571,1,0,1,0.0770777248827613,1.06577941797438
"5","Presence Kōaro","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"6","Presence Kōaro","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"7","Presence Kōaro","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"8","Presence Kōaro","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"9","Presence Kōaro","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"10","Presence Kōaro","",7,0.428571428571429,0,0,1,-0.0657794179743815,0.922922275117239
"11","Presence Kōaro","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
